idx,p_x,p_y,p_z,q_w,q_x,q_y,q_z
0,-1.52195,1.36339,0.0943046,0.743646,-1.71519e-06,0.0159058,-0.668384
1,-1.52195,1.36341,0.0943661,0.743626,2.94937e-07,0.0160904,-0.668402
2,-1.52196,1.36341,0.0943348,0.743639,2.21167e-05,0.0159742,-0.668391
3,-1.52195,1.36342,0.0943548,0.743634,-8.52068e-06,0.0161006,-0.668393
4,-1.52196,1.36339,0.094348,0.743627,9.68859e-06,0.0160686,-0.668401
5,-1.52195,1.36339,0.0943528,0.743648,1.103e-05,0.0160641,-0.668378
6,-1.52197,1.36339,0.0943493,0.743637,7.21833e-06,0.0160688,-0.668391
7,-1.52196,1.36343,0.0943721,0.743624,1.74027e-05,0.0161771,-0.668402
8,-1.52196,1.36338,0.0943536,0.74365,2.65108e-05,0.0160882,-0.668376
9,-1.52197,1.36336,0.0943808,0.743632,-4.68599e-05,0.0160683,-0.668396
10,-1.52198,1.36341,0.0943468,0.743649,2.19034e-05,0.0161543,-0.668375
11,-1.52197,1.36337,0.094382,0.743657,-1.7656e-05,0.0160006,-0.66837
12,-1.52196,1.36337,0.0943551,0.743638,-1.16283e-05,0.0159595,-0.668392
13,-1.52195,1.3634,0.0943462,0.743653,2.83033e-05,0.016195,-0.66837
14,-1.52197,1.36337,0.0943632,0.743625,-1.84233e-05,0.0161013,-0.668403
15,-1.52196,1.3634,0.0943721,0.74363,-1.41075e-05,0.0160925,-0.668398
16,-1.52197,1.3634,0.0943757,0.743657,3.38118e-05,0.0161335,-0.668367
17,-1.52197,1.3634,0.0943872,0.743666,1.28944e-05,0.0161313,-0.668357
18,-1.52198,1.36341,0.0943286,0.743638,1.84748e-05,0.0160256,-0.66839
19,-1.52196,1.36341,0.0943386,0.743653,1.82343e-05,0.0159902,-0.668375
20,-1.52197,1.3634,0.0943724,0.743656,1.05847e-05,0.0161273,-0.668368
21,-1.52196,1.3634,0.094355,0.743674,7.65475e-06,0.0161422,-0.668348
22,-1.52198,1.36339,0.094337,0.743664,3.09103e-05,0.0161202,-0.668359
23,-1.52198,1.36339,0.094351,0.743669,2.51275e-05,0.0159813,-0.668357
24,-1.52198,1.36343,0.0943635,0.743642,3.94231e-06,0.016078,-0.668384
25,-1.52195,1.36338,0.0943555,0.743646,-2.97303e-06,0.0160817,-0.66838
26,-1.52198,1.36341,0.0943301,0.743659,-1.29397e-05,0.0159561,-0.668369
27,-1.52196,1.36339,0.094337,0.743638,-3.08073e-06,0.0160281,-0.668391
28,-1.52197,1.3634,0.094359,0.743642,2.25412e-05,0.0159475,-0.668388
29,-1.52197,1.36341,0.0943785,0.743648,8.43189e-06,0.0161072,-0.668377
30,-1.52194,1.36338,0.0943305,0.743663,6.83282e-06,0.015982,-0.668364
31,-1.52198,1.36341,0.0943126,0.743675,2.30861e-05,0.0159947,-0.66835
32,-1.52198,1.36341,0.09433,0.743659,-1.93893e-05,0.0159256,-0.66837
33,-1.52197,1.36339,0.0943329,0.743663,4.21743e-05,0.0160224,-0.668363
34,-1.52198,1.3634,0.0943438,0.743662,-7.86925e-06,0.0160694,-0.668362
35,-1.52197,1.36339,0.0943208,0.743642,6.06015e-07,0.0159536,-0.668388
36,-1.52197,1.3634,0.0943327,0.743663,-5.51725e-06,0.0159856,-0.668363
37,-1.52197,1.36341,0.094314,0.743647,3.39849e-05,0.0159844,-0.668382
38,-1.52197,1.36338,0.0943413,0.743686,8.23508e-06,0.0159247,-0.668339
39,-1.52194,1.36341,0.0943642,0.743635,-1.69919e-06,0.0160333,-0.668394
40,-1.52198,1.36339,0.0943419,0.743665,5.39618e-05,0.0160088,-0.668361
41,-1.52196,1.36339,0.0943218,0.743653,1.41938e-05,0.0162163,-0.668369
42,-1.52196,1.36338,0.0943659,0.743637,6.54486e-06,0.0161015,-0.668389
43,-1.52196,1.36337,0.0943497,0.743639,-1.91306e-05,0.0159801,-0.668391
44,-1.52194,1.36336,0.0943587,0.743648,1.95873e-05,0.0161324,-0.668376
45,-1.52197,1.36344,0.0943271,0.743651,3.38642e-05,0.0160057,-0.668377
46,-1.52196,1.3634,0.0943503,0.743645,2.76036e-05,0.0161691,-0.668379
47,-1.52197,1.36343,0.0943326,0.743671,5.60599e-05,0.0160082,-0.668355
48,-1.52199,1.36339,0.0943434,0.743665,4.07278e-05,0.0161423,-0.668357
49,-1.52199,1.36343,0.0943481,0.743627,-1.42447e-05,0.0160252,-0.668403
50,-1.52197,1.36342,0.0943384,0.743657,3.82119e-06,0.0160722,-0.668368
51,-1.52195,1.36342,0.0943525,0.743635,2.58222e-05,0.0160825,-0.668393
52,-1.52195,1.36341,0.0943615,0.743661,3.22429e-05,0.0160467,-0.668365
53,-1.52196,1.3634,0.0943603,0.743672,1.70867e-05,0.016054,-0.668351
54,-1.52197,1.3634,0.0943452,0.743654,4.06465e-06,0.0160387,-0.668372
55,-1.52194,1.3634,0.0943405,0.743648,1.2716e-05,0.0161106,-0.668378
56,-1.52196,1.36342,0.0943468,0.743672,2.21283e-05,0.0161043,-0.668351
57,-1.52198,1.36342,0.0943447,0.743654,3.43072e-05,0.0160212,-0.668373
